User,Bot
don't use water on it!,i'll use a damp cloth.
the next four years will be good years.,"i'll vote for him next time, too."
you might want to buy a pair.,i'll wait until i wear this pair out.
what do you do?,i'm a babysitter.
what else can you do?,i'm a handyman.
you should carry them in a purse.,"i'm a man, and men don't carry purses!"
i'm doing great. what about you?,"i'm absolutely lovely, thank you."
i've actually been pretty good. you?,i'm actually in school right now.
so are we going to buy it?,i'm afraid not.
i'm watching you.,i'm an open book. watch me all you want.
which school do you attend?,i'm attending pcc right now.
will you be able to make it?,i'm busy this friday. i'm sorry.
how are you doing today?,i'm doing great. what about you?
how's it going?,i'm doing well. how about you?
they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
it's not even 10 o'clock.,i'm falling asleep on the phone.
"hi, how are you doing?",i'm fine. how about yourself?
worried about what?,i'm getting married.
to show respect to god and others.,i'm glad sunday is only once a week.
i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
"okay, my seatbelt is on.",i'm glad you don't complain very much.
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
what are you going to do with an english major?,i'm going to be a teacher.
so i'll see you next time.,i'm going to call you soon.
what are you doing?,i'm going to change the light bulb. it burnt out.
"yes, it's covered with crud.",i'm going to clean it.
doing what?,i'm going to dinner with my family.
what are you going to do with them?,i'm going to give them away. do you want one?
"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.
you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
where are you going to school?,i'm going to pcc.
"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?
what are you doing this weekend?,i'm going to the movies with a friend. how about you?
i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.
"not a lot, what about you?",i'm having a party next saturday.
fine. what's going on with you?,i'm having a party this friday.
"nothing much, what's going on?",i'm having a party this friday.
what do you have to do?,i'm having dinner with my family
i mean you're wasting your life.,i'm having fun.
you're driving too fast.,i'm in a hurry.
so what are you going to do?,i'm joining the army.
but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.
what are you going to do?,i'm looking in the newspaper for a job.
look in the fridge.,i'm looking. there's nothing to eat.
please don't be nosey.,"i'm not being nosey, it's just a question."
"i have to do some things, and besides, it's not polite to be nosey.",i'm not being nosey. i'm just asking.
the people are friendly.,i'm not ever going to leave.
i think you'll love the food.,i'm not going to eat any snails!
give me a hug.,i'm not in the mood.
"you were, too.",i'm not interested in her.
i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.
i have to get off the phone now.,i'm not ready to get off the phone with you.
i sure do.,i'm not sleeping on that sheet.
i'm going to the movies with a friend. how about you?,i'm not sure yet.
what movie are you going to see?,i'm not sure yet. is there something you want to see?
"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many."
"okay, what kind of job do you want?",i'm not sure.
what's for dinner?,i'm not sure.
who are you voting for?,i'm not voting for the mayor.
don't be nosey.,i'm not. i just want to know.
i'm fine. how about yourself?,i'm pretty good. thanks for asking.
i'm glad you don't complain very much.,i'm ready for an accident.
that's a switch.,"i'm serious, have you?"
are you really?,i'm serious. you deserved this promotion.
why are you yawning?,i'm sleepy.
"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
thank you.,i'm so happy for you.
my husband died.,i'm sorry for you.
i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?
that's harsh.,"i'm sorry, but i have to go."
"yeah, are you going to come?","i'm sorry, i can't."
do you think you can come?,i'm sorry. i'm already doing something this friday.
are you feeling any better?,i'm still feeling a little sick.
did it get any better?,i'm still feeling under the weather.
maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.
i loved it. i still remember how amazing it was.,"i'm sure i'll like it, too."
i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
with what?,i'm taking a math course in school.
so you're not very good at math?,i'm terrible at math.
think about something else. think about a hamburger.,"i'm thinking, but i still have to go."
"nothing really, you?",i'm throwing a party next saturday.
not a lot. what about you?,i'm throwing a party on friday.
nothing really.,i'm throwing a party on friday.
don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
"some men do, but not me.",i'm watching you.
i don't even know why we need to fix it.,in case we have visitors.
